X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
81.0080947807362,12.1598427112438,wind_171,11.6,170.3006467888875,-7.46,-332.92,0.76,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-178.716343270159
81.0982722059017,12.1772150330406,wind_172,10.4,174.56614707674171,-32.56,-331.4,0.74,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-174.388707394524
81.188461020705,12.1945593524717,wind_173,10.8,182.9471443941602,-81.28,-322.93,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-165.872367128781
81.2786635235442,12.211870090496,wind_174,11.0,171.87320338103677,-16.41,-332.6,0.85,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-177.175400096787
81.3688764854175,12.2291497085657,wind_175,11.0,171.24673113123959,-12.57,-332.76,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-177.836682068441
81.4590596412695,12.2463936751214,wind_176,13.6,184.04549719164888,-87.23999999999998,-321.37,0.95,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-164.812336177537
79.998820410708,12.0568571608269,wind_177,10.0,182.90497803996064,-82.56,-322.6,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-165.644930610443
79.9090489045608,12.039205775852,wind_178,2.1,315.54155228916653,-185.72,276.4,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-33.898130309664
80.0887976174901,12.0745189877802,wind_179,8.0,187.65465613478105,-109.36,-314.53,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-160.82777498976
81.1511610751148,11.4406560396638,wind_18,2.0,227.73953070374424,-286.61,-169.54,0.96,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-120.605823018983
