X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
"79.9286458959967","9.78310780060783",wind_0,"2.400000000000000","172.028186956285765","-113.099999999999994","313.209999999999980","0.960000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-19.855"
"79.3032154504501","9.90891246822148",wind_1,"7.000000000000000","171.945766760130027","-112.870000000000005","313.290000000000020","0.770000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-19.813"
"79.5529237320866","9.76488470689401",wind_10,"4.800000000000000","172.683974349144762","-109.060000000000002","314.629999999999995","0.890000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-19.118"
"78.8706732272999","9.15066926340118",wind_100,"8.500000000000000","137.927767915052328","-269.779999999999973","195.210000000000008","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-54.111"
"78.7814886214587","9.16855346534477",wind_101,"7.600000000000000","155.439718895985806","-198.229999999999990","267.569999999999993","0.920000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-36.533"
"78.6922950485135","9.18641733357908",wind_102,"5.400000000000000","114.412920173847070","-324.889999999999986","73.060000000000002","0.900000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-77.326"
"79.494833588897","9.02481260336788",wind_103,"5.700000000000000","148.292571896120251","-230.909999999999997","239.930000000000007","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-43.903"
"79.8512349774968","8.95243100295593",wind_104,"9.000000000000000","43.720890853911214","-180.689999999999998","-279.709999999999980","0.970000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-147.138"
"79.5839484501365","9.00675080806793",wind_105,"19.100000000000001","167.590348950111974","-137.500000000000000","303.279999999999973","0.870000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-24.388"
"79.0491256521271","9.11480049002336",wind_106,"12.500000000000000","172.537064731329650","-109.730000000000004","314.399999999999977","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-19.240"
"79.1382835063923","9.09684703966382",wind_107,"6.100000000000000","168.390579233895238","-132.710000000000008","305.410000000000025","0.870000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-23.486"
"78.9599352773552","9.13273857375205",wind_108,"6.300000000000000","152.919363342006733","-210.039999999999992","258.399999999999977","0.900000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-39.106"
"79.7436444779683","8.88027594887309",wind_109,"9.900000000000000","161.819691217142378","-167.969999999999999","287.540000000000020","0.900000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-30.292"
"79.8208559754061","9.71087836088329",wind_11,"6.300000000000000","30.376667146461649","-110.579999999999998","-314.100000000000023","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-160.605"
"79.6545721121702","8.8983908809803",wind_110,"10.800000000000001","169.448062608085365","-127.510000000000005","307.620000000000005","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-22.514"
"79.8327077924122","8.86213974947588",wind_111,"5.600000000000000","161.933174816793013","-167.479999999999990","287.819999999999993","0.850000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-30.195"
"79.2090700349438","8.9886337820181",wind_112,"7.600000000000000","147.766081369875110","-232.919999999999987","237.979999999999990","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-44.384"
"79.5654885602609","8.91648028157352",wind_113,"10.100000000000000","160.438730879794605","-174.800000000000011","283.430000000000007","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-31.663"
"79.1199431192461","9.00661636135946",wind_114,"7.600000000000000","148.684505595156054","-228.979999999999990","241.780000000000001","0.890000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-43.443"
"78.8524708580643","9.06045160011633",wind_115,"5.100000000000000","145.822286361801332","-240.490000000000009","230.330000000000013","0.900000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-46.236"
"79.4763962069707","8.93454970624166",wind_116,"11.199999999999999","148.781993733631992","-228.860000000000014","241.889999999999986","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-43.415"
"78.9416570366153","9.04252236261704",wind_117,"10.900000000000000","155.229964605357537","-199.449999999999989","266.660000000000025","0.900000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-36.795"
"79.2981903429008","8.97062854315978",wind_118,"4.000000000000000","140.171957179584894","-262.410000000000025","205.009999999999991","0.850000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-52.001"
"79.3872966583335","8.95259911839578",wind_119,"1.300000000000000","157.742115051398997","-187.939999999999998","274.899999999999977","0.810000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-34.359"
"79.2849036037375","9.81868332727497",wind_12,"10.100000000000000","167.918783579683833","-135.030000000000001","304.389999999999986","0.910000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-23.922"
"79.0308092637701","9.02457847149359",wind_120,"4.500000000000000","143.041093530216983","-251.620000000000005","218.120000000000005","0.940000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-49.079"
"78.7633089368668","9.07834543915658",wind_121,"4.700000000000000","147.307450535193567","-234.360000000000014","236.560000000000002","0.920000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-44.732"
"78.6741377997289","9.0962192406275",wind_122,"10.600000000000000","181.163527620936236","-59.649999999999999","327.610000000000014","0.930000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-10.319"
"78.5848935003091","9.11408577060174",wind_123,"2.200000000000000","111.832888273144931","-327.759999999999991","58.820000000000000","0.920000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-79.826"
"78.495578091962","9.13194445991708",wind_124,"20.000000000000000","156.382727046491254","-193.259999999999991","271.180000000000007","0.980000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-35.476"
"79.6360886349983","8.80811277467474",wind_125,"5.200000000000000","153.035145394068280","-210.360000000000014","258.139999999999986","0.870000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-39.177"
"79.7251384902904","8.78999115000545",wind_126,"3.600000000000000","137.891834975465315","-270.629999999999995","194.030000000000001","0.860000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-54.361"
"79.4579581666433","8.84428663821249",wind_127,"8.300000000000002","145.191334072658037","-243.629999999999995","227.009999999999991","0.910000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-47.022"
"79.814179249234","8.77184815418993",wind_128,"5.300000000000000","158.327586881560421","-185.520000000000010","276.529999999999973","0.870000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-33.857"
"79.3688822027794","8.86234373259124",wind_129,"8.100000000000000","151.574247142455960","-216.669999999999987","252.870000000000005","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-40.591"
"79.6422435357945","9.74690400876261",wind_13,"9.800000000000001","170.197709232902412","-122.980000000000004","309.459999999999980","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-21.673"
"79.5470273450636","8.82620962824775",wind_130,"10.199999999999999","164.695326774619531","-152.960000000000008","295.790000000000020","0.880000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-27.345"
"79.1907026104491","8.89839467125417",wind_131,"7.500000000000000","146.609781247270632","-237.719999999999999","233.189999999999998","0.930000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-45.551"
"79.1016003306434","8.91638557025809",wind_132,"5.000000000000000","134.357879154301799","-281.660000000000025","177.650000000000006","0.950000000000000","fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star","-57.759"
